,hora,temperatura,Punto de rocio,Humedad,viento,nudos de viento,Rafaga,Presion,Precipitacion,Condicion,fecha
18,9:26 AM,54 °F,50 °F,88 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Rain,2021-01-03
19,10:00 AM,54 °F,50 °F,88 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Patches of Fog,2021-01-03
20,10:20 AM,55 °F,50 °F,82 %,N,5 mph,0 mph,21.67 in,0.0 in,Patches of Fog,2021-01-03
21,11:00 AM,57 °F,52 °F,82 %,N,8 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-03
22,12:00 PM,59 °F,50 °F,72 %,NNW,9 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-03
23,1:00 PM,59 °F,50 °F,72 %,NNW,7 mph,0 mph,21.63 in,0.0 in,Cloudy,2021-01-03
24,7:00 AM,52 °F,50 °F,94 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-04
25,8:00 AM,54 °F,50 °F,88 %,ENE,2 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-04
26,9:00 AM,57 °F,50 °F,77 %,E,2 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-04
27,10:00 AM,64 °F,50 °F,59 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-04
28,11:00 AM,64 °F,48 °F,56 %,VAR,2 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-04
29,12:00 PM,68 °F,46 °F,46 %,ENE,6 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2021-01-04
30,1:00 PM,72 °F,46 °F,41 %,VAR,3 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-04
31,7:00 AM,52 °F,50 °F,94 %,NE,5 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-05
32,8:00 AM,57 °F,50 °F,77 %,WNW,3 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-05
33,9:00 AM,59 °F,50 °F,72 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-05
34,10:00 AM,61 °F,50 °F,68 %,NE,3 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-05
35,11:00 AM,64 °F,50 °F,59 %,VAR,5 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2021-01-05
36,12:00 PM,68 °F,48 °F,49 %,VAR,6 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2021-01-05
37,1:00 PM,70 °F,52 °F,53 %,NNE,9 mph,0 mph,21.50 in,0.0 in,Thunder,2021-01-05
38,7:00 AM,57 °F,50 °F,77 %,E,3 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-06
39,8:00 AM,59 °F,50 °F,72 %,E,1 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2021-01-06
40,9:00 AM,61 °F,50 °F,68 %,NE,5 mph,0 mph,21.60 in,0.0 in,Light Drizzle,2021-01-06
41,10:00 AM,64 °F,50 °F,59 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-06
42,11:00 AM,68 °F,48 °F,49 %,NE,8 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-06
43,12:00 PM,72 °F,46 °F,41 %,VAR,3 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2021-01-06
44,1:00 PM,72 °F,46 °F,41 %,VAR,6 mph,0 mph,21.52 in,0.0 in,Light Drizzle,2021-01-06
45,7:00 AM,52 °F,48 °F,88 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Cloudy,2021-01-07
46,8:00 AM,54 °F,48 °F,82 %,CALM,0 mph,0 mph,21.69 in,0.0 in,Cloudy,2021-01-07
47,9:00 AM,55 °F,46 °F,72 %,VAR,1 mph,0 mph,21.69 in,0.0 in,Patches of Fog,2021-01-07
48,10:00 AM,59 °F,48 °F,67 %,VAR,3 mph,0 mph,21.69 in,0.0 in,Cloudy,2021-01-07
49,11:00 AM,57 °F,46 °F,67 %,NNW,6 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2021-01-07
50,12:00 PM,61 °F,48 °F,63 %,N,6 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-07
51,1:00 PM,63 °F,50 °F,63 %,NNW,9 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-07
52,7:00 AM,54 °F,48 °F,82 %,SW,1 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-08
53,8:00 AM,55 °F,46 °F,72 %,NE,5 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-08
54,9:00 AM,63 °F,48 °F,59 %,VAR,1 mph,0 mph,21.67 in,0.0 in,Partly Cloudy,2021-01-08
55,10:00 AM,66 °F,45 °F,46 %,VAR,1 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2021-01-08
56,11:00 AM,68 °F,45 °F,43 %,VAR,5 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2021-01-08
57,12:00 PM,70 °F,43 °F,38 %,VAR,5 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-08
58,1:00 PM,73 °F,45 °F,36 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2021-01-08
59,2:00 PM,72 °F,43 °F,35 %,NNE,7 mph,0 mph,21.54 in,0.0 in,Fair,2021-01-08
60,3:00 PM,75 °F,45 °F,34 %,VAR,5 mph,0 mph,21.52 in,0.0 in,Partly Cloudy,2021-01-08
61,7:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-09
62,8:00 AM,57 °F,50 °F,77 %,VAR,1 mph,0 mph,21.65 in,0.0 in,Patches of Fog,2021-01-09
63,9:00 AM,61 °F,52 °F,72 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-09
64,10:00 AM,63 °F,50 °F,63 %,ENE,5 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-09
65,11:00 AM,64 °F,50 °F,59 %,NE,6 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-09
66,12:00 PM,68 °F,48 °F,49 %,N,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-09
67,1:00 PM,68 °F,46 °F,46 %,NNE,10 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2021-01-09
68,2:00 PM,70 °F,46 °F,43 %,VAR,5 mph,0 mph,21.54 in,0.0 in,Thunder,2021-01-09
69,3:00 PM,72 °F,48 °F,43 %,VAR,8 mph,0 mph,21.52 in,0.0 in,Thunder,2021-01-09
70,4:00 PM,68 °F,48 °F,49 %,SE,10 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-09
71,5:00 PM,70 °F,48 °F,46 %,VAR,5 mph,0 mph,21.50 in,0.0 in,Mostly Cloudy,2021-01-09
72,7:00 AM,55 °F,45 °F,67 %,SSE,3 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-10
73,8:00 AM,59 °F,46 °F,63 %,VAR,1 mph,0 mph,21.67 in,0.0 in,Partly Cloudy,2021-01-10
74,9:00 AM,63 °F,46 °F,55 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Partly Cloudy,2021-01-10
75,10:00 AM,64 °F,46 °F,52 %,ENE,6 mph,0 mph,21.67 in,0.0 in,Showers in the Vicinity,2021-01-10
76,11:00 AM,66 °F,46 °F,49 %,ENE,5 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-10
77,12:00 PM,68 °F,45 °F,43 %,ENE,7 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-10
78,1:00 PM,70 °F,45 °F,40 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-10
79,7:00 AM,57 °F,46 °F,67 %,VAR,1 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-11
80,8:00 AM,57 °F,45 °F,63 %,ENE,3 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2021-01-11
81,9:00 AM,63 °F,48 °F,59 %,NE,3 mph,0 mph,21.65 in,0.0 in,Fair,2021-01-11
82,10:00 AM,64 °F,45 °F,49 %,W,5 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2021-01-11
83,11:00 AM,70 °F,45 °F,40 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2021-01-11
84,12:00 PM,72 °F,46 °F,41 %,VAR,6 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2021-01-11
85,1:00 PM,73 °F,45 °F,36 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-11
86,7:00 AM,55 °F,46 °F,72 %,ENE,3 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-12
87,8:00 AM,57 °F,48 °F,72 %,NE,3 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-12
88,9:00 AM,61 °F,48 °F,63 %,ENE,6 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-12
89,10:00 AM,61 °F,46 °F,59 %,NNE,3 mph,0 mph,21.67 in,0.0 in,Cloudy,2021-01-12
90,11:00 AM,64 °F,46 °F,52 %,NNE,6 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-12
91,12:00 PM,66 °F,46 °F,49 %,NNE,6 mph,0 mph,21.63 in,0.0 in,Cloudy,2021-01-12
92,1:00 PM,68 °F,45 °F,43 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-12
93,7:00 AM,57 °F,46 °F,67 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-13
94,8:00 AM,59 °F,48 °F,67 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-13
95,9:00 AM,61 °F,46 °F,59 %,NNW,3 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-13
96,10:00 AM,61 °F,46 °F,59 %,NE,5 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-13
97,11:00 AM,63 °F,50 °F,63 %,ENE,5 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-13
98,12:00 PM,66 °F,45 °F,46 %,S,5 mph,0 mph,21.60 in,0.0 in,Cloudy,2021-01-13
99,1:00 PM,68 °F,43 °F,40 %,VAR,2 mph,0 mph,21.58 in,0.0 in,Cloudy,2021-01-13
100,2:00 PM,70 °F,45 °F,40 %,VAR,5 mph,0 mph,21.56 in,0.0 in,Cloudy,2021-01-13
101,3:00 PM,70 °F,45 °F,40 %,N,5 mph,0 mph,21.52 in,0.0 in,Mostly Cloudy,2021-01-13
102,7:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Cloudy,2021-01-14
103,8:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-14
104,9:00 AM,57 °F,52 °F,82 %,VAR,1 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-14
105,10:00 AM,59 °F,52 °F,77 %,N,3 mph,0 mph,21.60 in,0.0 in,Cloudy,2021-01-14
106,11:00 AM,59 °F,50 °F,72 %,NE,7 mph,0 mph,21.60 in,0.0 in,Cloudy,2021-01-14
107,12:00 PM,63 °F,46 °F,55 %,VAR,1 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-14
108,1:00 PM,63 °F,50 °F,63 %,E,6 mph,0 mph,21.58 in,0.0 in,Light Drizzle,2021-01-14
109,2:00 PM,63 °F,50 °F,63 %,SSW,6 mph,0 mph,21.56 in,0.0 in,Cloudy,2021-01-14
110,3:00 PM,64 °F,48 °F,56 %,E,5 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2021-01-14
111,4:00 PM,64 °F,48 °F,56 %,N,6 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-14
112,5:00 PM,64 °F,48 °F,56 %,NNE,7 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-14
113,7:00 AM,55 °F,54 °F,94 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-15
114,8:00 AM,55 °F,54 °F,94 %,NE,3 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-15
115,9:00 AM,59 °F,52 °F,77 %,NNE,3 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-15
116,10:00 AM,63 °F,52 °F,68 %,VAR,2 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-15
117,11:00 AM,63 °F,54 °F,72 %,VAR,2 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-15
118,12:00 PM,64 °F,46 °F,52 %,VAR,2 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-15
119,1:00 PM,66 °F,46 °F,49 %,VAR,2 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-15
120,7:00 AM,54 °F,52 °F,94 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-16
121,8:00 AM,55 °F,52 °F,88 %,ENE,3 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-16
122,9:00 AM,57 °F,52 °F,82 %,ENE,3 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-16
123,10:00 AM,59 °F,50 °F,72 %,VAR,1 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-16
124,11:00 AM,63 °F,48 °F,59 %,E,5 mph,0 mph,21.58 in,0.0 in,Cloudy,2021-01-16
125,12:00 PM,66 °F,48 °F,52 %,VAR,2 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2021-01-16
126,1:00 PM,66 °F,45 °F,46 %,S,5 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2021-01-16
127,7:00 AM,54 °F,52 °F,94 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2021-01-17
128,8:00 AM,55 °F,54 °F,94 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2021-01-17
129,8:30 AM,57 °F,54 °F,88 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-17
130,9:00 AM,57 °F,52 °F,82 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Patches of Fog,2021-01-17
131,9:30 AM,59 °F,52 °F,77 %,NNE,3 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2021-01-17
132,10:00 AM,59 °F,52 °F,77 %,ENE,3 mph,0 mph,21.58 in,0.0 in,Patches of Fog,2021-01-17
133,11:00 AM,61 °F,50 °F,68 %,NE,5 mph,0 mph,21.58 in,0.0 in,Cloudy,2021-01-17
134,12:00 PM,63 °F,52 °F,68 %,VAR,2 mph,0 mph,21.56 in,0.0 in,Cloudy,2021-01-17
135,1:00 PM,64 °F,48 °F,56 %,VAR,1 mph,0 mph,21.54 in,0.0 in,Cloudy,2021-01-17
136,7:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Cloudy,2021-01-18
137,8:00 AM,57 °F,52 °F,82 %,ENE,3 mph,0 mph,21.58 in,0.0 in,Cloudy,2021-01-18
138,9:00 AM,59 °F,54 °F,82 %,ENE,1 mph,0 mph,21.60 in,0.0 in,Cloudy,2021-01-18
139,10:00 AM,59 °F,52 °F,77 %,N,6 mph,0 mph,21.60 in,0.0 in,Light Rain,2021-01-18
140,11:00 AM,59 °F,54 °F,82 %,NNW,7 mph,0 mph,21.60 in,0.0 in,Light Rain,2021-01-18
141,12:00 PM,57 °F,52 °F,82 %,NW,5 mph,0 mph,21.63 in,0.0 in,Light Rain,2021-01-18
142,1:00 PM,55 °F,50 °F,82 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Light Rain,2021-01-18
143,7:00 AM,54 °F,52 °F,94 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-19
144,8:00 AM,55 °F,52 °F,88 %,E,5 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-19
145,8:16 AM,57 °F,52 °F,82 %,VAR,1 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-19
146,9:00 AM,59 °F,52 °F,77 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-19
147,10:00 AM,61 °F,54 °F,77 %,VAR,3 mph,0 mph,21.63 in,0.0 in,Light Rain,2021-01-19
148,11:00 AM,61 °F,50 °F,68 %,E,5 mph,0 mph,21.60 in,0.0 in,Light Rain,2021-01-19
149,12:00 PM,66 °F,50 °F,56 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2021-01-19
150,1:00 PM,68 °F,54 °F,60 %,NE,9 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-19
151,7:00 AM,59 °F,52 °F,77 %,CALM,0 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-20
152,8:00 AM,59 °F,54 °F,82 %,E,2 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-20
153,9:00 AM,61 °F,52 °F,72 %,N,3 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-20
154,10:00 AM,64 °F,54 °F,68 %,ENE,3 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2021-01-20
155,11:00 AM,64 °F,52 °F,64 %,VAR,1 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2021-01-20
156,12:00 PM,66 °F,54 °F,64 %,N,3 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-20
157,1:00 PM,70 °F,50 °F,49 %,VAR,2 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2021-01-20
158,2:00 PM,72 °F,48 °F,43 %,VAR,5 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-20
159,7:00 AM,55 °F,52 °F,88 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Cloudy,2021-01-21
160,8:00 AM,57 °F,52 °F,82 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Showers in the Vicinity,2021-01-21
161,9:00 AM,59 °F,50 °F,72 %,VAR,1 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-21
162,10:00 AM,63 °F,50 °F,63 %,ESE,5 mph,0 mph,21.63 in,0.0 in,Showers in the Vicinity,2021-01-21
163,11:00 AM,64 °F,50 °F,59 %,VAR,5 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-21
164,12:00 PM,68 °F,46 °F,46 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-21
165,1:00 PM,68 °F,50 °F,52 %,VAR,5 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-21
166,2:00 PM,68 °F,48 °F,49 %,VAR,2 mph,0 mph,21.54 in,0.0 in,Thunder,2021-01-21
167,3:00 PM,68 °F,48 °F,49 %,W,3 mph,0 mph,21.52 in,0.0 in,Light Rain with Thunder,2021-01-21
168,7:00 AM,55 °F,50 °F,82 %,ESE,2 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-22
169,8:00 AM,57 °F,50 °F,77 %,CALM,0 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2021-01-22
170,9:00 AM,59 °F,52 °F,77 %,ESE,3 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-22
171,10:00 AM,61 °F,48 °F,63 %,NE,5 mph,0 mph,21.67 in,0.0 in,Showers in the Vicinity,2021-01-22
172,11:00 AM,64 °F,48 °F,56 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-22
173,12:00 PM,66 °F,46 °F,49 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2021-01-22
174,1:00 PM,68 °F,46 °F,46 %,NE,6 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2021-01-22
175,2:00 PM,68 °F,45 °F,43 %,VAR,1 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-22
176,7:00 AM,59 °F,50 °F,72 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-23
177,8:00 AM,64 °F,52 °F,64 %,CALM,0 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-23
178,9:00 AM,64 °F,48 °F,56 %,VAR,5 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-23
179,10:00 AM,66 °F,48 °F,52 %,VAR,3 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-23
180,11:00 AM,68 °F,46 °F,46 %,VAR,5 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-23
181,12:00 PM,68 °F,45 °F,43 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-23
182,1:00 PM,70 °F,45 °F,40 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-23
183,7:00 AM,55 °F,50 °F,82 %,SW,5 mph,0 mph,21.63 in,0.0 in,Light Rain,2021-01-24
184,8:00 AM,57 °F,52 °F,82 %,NNW,3 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-24
185,9:00 AM,59 °F,50 °F,72 %,NNW,7 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-24
186,10:00 AM,59 °F,46 °F,63 %,NNW,7 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-24
187,11:00 AM,61 °F,45 °F,55 %,NNW,5 mph,0 mph,21.65 in,0.0 in,Cloudy,2021-01-24
188,12:00 PM,61 °F,46 °F,59 %,E,6 mph,0 mph,21.63 in,0.0 in,Showers in the Vicinity,2021-01-24
189,1:00 PM,63 °F,46 °F,55 %,ESE,7 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-24
190,7:00 AM,57 °F,50 °F,77 %,VAR,1 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-25
191,8:00 AM,61 °F,52 °F,72 %,ENE,3 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-25
192,9:00 AM,63 °F,48 °F,59 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-25
193,10:00 AM,64 °F,48 °F,56 %,VAR,5 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-25
194,11:00 AM,68 °F,46 °F,46 %,VAR,5 mph,0 mph,21.58 in,0.0 in,Showers in the Vicinity,2021-01-25
195,12:00 PM,68 °F,46 °F,46 %,NE,8 mph,0 mph,21.56 in,0.0 in,Showers in the Vicinity,2021-01-25
196,1:00 PM,70 °F,46 °F,43 %,ENE,13 mph,0 mph,21.54 in,0.0 in,Showers in the Vicinity,2021-01-25
197,2:00 PM,72 °F,43 °F,35 %,VAR,7 mph,0 mph,21.52 in,0.0 in,Showers in the Vicinity,2021-01-25
198,7:00 AM,54 °F,52 °F,94 %,NE,9 mph,0 mph,21.63 in,0.0 in,Light Rain,2021-01-26
199,8:00 AM,55 °F,50 °F,82 %,ENE,3 mph,0 mph,21.63 in,0.0 in,Patches of Fog,2021-01-26
200,9:00 AM,57 °F,52 °F,82 %,NE,6 mph,0 mph,21.65 in,0.0 in,Patches of Fog,2021-01-26
201,10:00 AM,63 °F,52 °F,68 %,W,7 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-26
202,11:00 AM,63 °F,48 °F,59 %,VAR,2 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-26
203,12:00 PM,66 °F,52 °F,60 %,VAR,6 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-26
204,1:00 PM,66 °F,50 °F,56 %,N,5 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2021-01-26
205,2:00 PM,68 °F,50 °F,52 %,NW,5 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2021-01-26
206,7:00 AM,57 °F,39 °F,51 %,SE,5 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2021-01-27
207,8:00 AM,59 °F,45 °F,59 %,NE,5 mph,0 mph,21.63 in,0.0 in,Fair,2021-01-27
208,9:00 AM,63 °F,45 °F,52 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Fair,2021-01-27
209,10:00 AM,66 °F,48 °F,52 %,N,3 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-27
210,11:00 AM,68 °F,46 °F,46 %,W,5 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-27
211,12:00 PM,72 °F,39 °F,31 %,VAR,5 mph,0 mph,21.56 in,0.0 in,Partly Cloudy,2021-01-27
212,1:00 PM,75 °F,36 °F,24 %,VAR,3 mph,0 mph,21.54 in,0.0 in,Partly Cloudy,2021-01-27
213,7:00 AM,57 °F,45 °F,63 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-28
214,8:00 AM,57 °F,46 °F,67 %,CALM,0 mph,0 mph,21.58 in,0.0 in,Mostly Cloudy,2021-01-28
