fecha,IdProducto,mozo,cantidad
4/11/2020,7,mary,1
4/11/2020,11,mary,1
4/11/2020,29,mary,9
4/11/2020,42,mary,2
4/11/2020,44,mary,1
4/11/2020,47,mary,3
4/11/2020,48,mary,3
4/11/2020,50,mary,1
4/11/2020,51,mary,8
4/11/2020,52,mary,3
4/11/2020,55,mary,1
4/11/2020,56,mary,2
5/11/2020,1,esthefany,4
5/11/2020,2,esthefany,1
5/11/2020,6,esthefany,1
5/11/2020,29,esthefany,3
5/11/2020,35,esthefany,1
5/11/2020,42,esthefany,5
5/11/2020,47,esthefany,5
5/11/2020,48,esthefany,2
5/11/2020,49,esthefany,1
5/11/2020,50,esthefany,5
5/11/2020,51,esthefany,5
5/11/2020,52,esthefany,2
5/11/2020,56,esthefany,2
5/11/2020,59,esthefany,1
5/11/2020,110,esthefany,1
5/11/2020,1,mary,6
5/11/2020,2,mary,1
5/11/2020,7,mary,3
5/11/2020,11,mary,1
5/11/2020,29,mary,4
5/11/2020,36,mary,1
5/11/2020,40,mary,1
5/11/2020,42,mary,1
5/11/2020,44,mary,3
5/11/2020,47,mary,3
5/11/2020,49,mary,3
5/11/2020,50,mary,1
5/11/2020,51,mary,4
5/11/2020,52,mary,1
5/11/2020,55,mary,2
5/11/2020,56,mary,1
6/11/2020,1,agustina,3
6/11/2020,6,agustina,1
6/11/2020,7,agustina,1
6/11/2020,11,agustina,4
6/11/2020,27,agustina,3
6/11/2020,29,agustina,6
6/11/2020,33,agustina,1
6/11/2020,42,agustina,1
6/11/2020,44,agustina,4
6/11/2020,45,agustina,1
6/11/2020,46,agustina,1
6/11/2020,47,agustina,2
6/11/2020,48,agustina,1
6/11/2020,50,agustina,6
6/11/2020,51,agustina,9
6/11/2020,53,agustina,1
6/11/2020,56,agustina,1
6/11/2020,58,agustina,1
6/11/2020,1,alex,6
6/11/2020,7,alex,1
6/11/2020,11,alex,2
6/11/2020,22,alex,1
6/11/2020,26,alex,2
6/11/2020,27,alex,1
6/11/2020,29,alex,9
6/11/2020,30,alex,2
6/11/2020,36,alex,2
6/11/2020,42,alex,4
6/11/2020,44,alex,2
6/11/2020,46,alex,2
6/11/2020,47,alex,1
6/11/2020,50,alex,2
6/11/2020,51,alex,18
6/11/2020,52,alex,3
6/11/2020,55,alex,1
6/11/2020,56,alex,1
6/11/2020,1,cielo,14
6/11/2020,2,cielo,2
6/11/2020,7,cielo,8
6/11/2020,11,cielo,4
6/11/2020,22,cielo,1
6/11/2020,27,cielo,2
6/11/2020,29,cielo,26
6/11/2020,31,cielo,2
6/11/2020,33,cielo,2
6/11/2020,36,cielo,1
6/11/2020,42,cielo,9
6/11/2020,44,cielo,5
6/11/2020,46,cielo,8
6/11/2020,47,cielo,10
6/11/2020,48,cielo,2
6/11/2020,51,cielo,5
6/11/2020,56,cielo,3
6/11/2020,59,cielo,4
6/11/2020,110,cielo,2
6/11/2020,1,esthefany,5
6/11/2020,6,esthefany,1
6/11/2020,7,esthefany,3
6/11/2020,27,esthefany,2
6/11/2020,29,esthefany,8
6/11/2020,40,esthefany,3
6/11/2020,42,esthefany,2
6/11/2020,44,esthefany,1
6/11/2020,47,esthefany,1
6/11/2020,48,esthefany,5
6/11/2020,51,esthefany,21
6/11/2020,52,esthefany,2
6/11/2020,55,esthefany,1
6/11/2020,59,esthefany,2
6/11/2020,1,janet,5
6/11/2020,2,janet,1
6/11/2020,7,janet,2
6/11/2020,26,janet,1
6/11/2020,27,janet,1
6/11/2020,29,janet,4
6/11/2020,31,janet,2
6/11/2020,44,janet,2
6/11/2020,46,janet,3
6/11/2020,47,janet,1
6/11/2020,48,janet,1
6/11/2020,51,janet,4
6/11/2020,52,janet,2
6/11/2020,56,janet,1
6/11/2020,1,mary,8
6/11/2020,6,mary,2
6/11/2020,7,mary,3
6/11/2020,22,mary,2
6/11/2020,24,mary,2
6/11/2020,27,mary,1
6/11/2020,29,mary,6
6/11/2020,42,mary,2
6/11/2020,44,mary,2
6/11/2020,46,mary,2
6/11/2020,47,mary,10
6/11/2020,48,mary,1
6/11/2020,50,mary,3
6/11/2020,51,mary,8
6/11/2020,52,mary,3
6/11/2020,55,mary,1
6/11/2020,56,mary,1
6/11/2020,59,mary,3
6/11/2020,1,rosita,16
6/11/2020,2,rosita,1
6/11/2020,7,rosita,3
6/11/2020,11,rosita,2
6/11/2020,27,rosita,1
6/11/2020,29,rosita,14
6/11/2020,33,rosita,1
6/11/2020,40,rosita,1
6/11/2020,42,rosita,2
6/11/2020,44,rosita,7
6/11/2020,45,rosita,1
6/11/2020,47,rosita,7
6/11/2020,50,rosita,2
6/11/2020,51,rosita,7
6/11/2020,52,rosita,2
6/11/2020,56,rosita,1
6/11/2020,58,rosita,1
6/11/2020,110,rosita,1
6/11/2020,1,yanet,4
6/11/2020,7,yanet,4
6/11/2020,11,yanet,2
6/11/2020,27,yanet,1
6/11/2020,29,yanet,3
6/11/2020,30,yanet,1
6/11/2020,33,yanet,2
6/11/2020,44,yanet,4
6/11/2020,46,yanet,1
6/11/2020,47,yanet,3
6/11/2020,51,yanet,4
6/11/2020,55,yanet,2
6/11/2020,56,yanet,3
6/11/2020,1,zulma,7
6/11/2020,2,zulma,4
6/11/2020,7,zulma,2
6/11/2020,11,zulma,6
6/11/2020,22,zulma,1
6/11/2020,29,zulma,4
6/11/2020,40,zulma,2
6/11/2020,44,zulma,4
6/11/2020,47,zulma,3
6/11/2020,48,zulma,7
6/11/2020,51,zulma,18
6/11/2020,52,zulma,2
6/11/2020,56,zulma,3
6/11/2020,58,zulma,1
6/11/2020,59,zulma,2
6/11/2020,110,zulma,1
7/11/2020,1,agustina,7
7/11/2020,2,agustina,2
7/11/2020,7,agustina,1
7/11/2020,11,agustina,2
7/11/2020,22,agustina,2
7/11/2020,29,agustina,8
7/11/2020,42,agustina,2
7/11/2020,44,agustina,1
7/11/2020,47,agustina,3
7/11/2020,48,agustina,3
7/11/2020,51,agustina,1
7/11/2020,52,agustina,2
7/11/2020,56,agustina,2
7/11/2020,58,agustina,1
7/11/2020,59,agustina,2
7/11/2020,1,liz,6
7/11/2020,7,liz,1
7/11/2020,11,liz,3
7/11/2020,18,liz,1
7/11/2020,22,liz,2
7/11/2020,29,liz,8
7/11/2020,42,liz,3
7/11/2020,44,liz,3
7/11/2020,48,liz,10
7/11/2020,51,liz,1
7/11/2020,52,liz,2
7/11/2020,53,liz,1
7/11/2020,55,liz,2
7/11/2020,59,liz,1
7/11/2020,110,liz,1
7/11/2020,1,nilson,3
7/11/2020,2,nilson,1
7/11/2020,7,nilson,5
7/11/2020,11,nilson,1
7/11/2020,29,nilson,10
7/11/2020,39,nilson,1
7/11/2020,42,nilson,1
7/11/2020,44,nilson,5
7/11/2020,45,nilson,1
7/11/2020,48,nilson,2
7/11/2020,50,nilson,3
7/11/2020,51,nilson,3
7/11/2020,52,nilson,5
7/11/2020,55,nilson,2
7/11/2020,59,nilson,1
7/11/2020,1,susan,6
7/11/2020,7,susan,1
7/11/2020,29,susan,5
7/11/2020,42,susan,1
7/11/2020,44,susan,1
7/11/2020,47,susan,5
7/11/2020,48,susan,6
7/11/2020,52,susan,1
7/11/2020,55,susan,2
8/11/2020,1,agustina,9
8/11/2020,2,agustina,1
8/11/2020,6,agustina,1
8/11/2020,7,agustina,5
8/11/2020,11,agustina,3
8/11/2020,29,agustina,10
8/11/2020,42,agustina,1
8/11/2020,44,agustina,3
8/11/2020,47,agustina,1
8/11/2020,48,agustina,1
8/11/2020,52,agustina,3
8/11/2020,56,agustina,1
8/11/2020,1,liz,8
8/11/2020,2,liz,2
8/11/2020,6,liz,1
8/11/2020,7,liz,2
8/11/2020,27,liz,2
8/11/2020,29,liz,7
8/11/2020,35,liz,1
8/11/2020,39,liz,1
8/11/2020,42,liz,2
8/11/2020,44,liz,7
8/11/2020,47,liz,1
8/11/2020,52,liz,1
8/11/2020,58,liz,1
8/11/2020,1,nilson,9
8/11/2020,7,nilson,3
8/11/2020,11,nilson,2
8/11/2020,27,nilson,1
8/11/2020,29,nilson,9
8/11/2020,42,nilson,1
8/11/2020,44,nilson,4
8/11/2020,45,nilson,1
8/11/2020,47,nilson,1
8/11/2020,48,nilson,1
8/11/2020,51,nilson,3
8/11/2020,52,nilson,3
14/11/2020,1,esthefany,5
14/11/2020,6,esthefany,1
14/11/2020,7,esthefany,6
14/11/2020,27,esthefany,3
14/11/2020,29,esthefany,8
14/11/2020,39,esthefany,1
14/11/2020,41,esthefany,1
14/11/2020,42,esthefany,4
14/11/2020,43,esthefany,1
14/11/2020,44,esthefany,3
14/11/2020,48,esthefany,1
14/11/2020,52,esthefany,2
14/11/2020,1,mayumi,3
14/11/2020,6,mayumi,1
14/11/2020,7,mayumi,1
14/11/2020,29,mayumi,1
14/11/2020,42,mayumi,1
14/11/2020,44,mayumi,3
14/11/2020,47,mayumi,1
14/11/2020,51,mayumi,10
14/11/2020,53,mayumi,1
14/11/2020,1,sthefany,3
14/11/2020,7,sthefany,2
14/11/2020,29,sthefany,3
14/11/2020,39,sthefany,1
14/11/2020,44,sthefany,1
14/11/2020,48,sthefany,2
14/11/2020,50,sthefany,4
14/11/2020,51,sthefany,2
14/11/2020,56,sthefany,1
14/11/2020,59,sthefany,1
14/11/2020,1,susan,5
14/11/2020,11,susan,1
14/11/2020,29,susan,6
14/11/2020,33,susan,1
14/11/2020,42,susan,2
14/11/2020,44,susan,5
14/11/2020,48,susan,2
14/11/2020,50,susan,4
14/11/2020,51,susan,1
14/11/2020,52,susan,4
14/11/2020,59,susan,1
15/11/2020,1,esthefany,15
15/11/2020,7,esthefany,3
15/11/2020,11,esthefany,2
15/11/2020,12,esthefany,1
15/11/2020,18,esthefany,1
15/11/2020,22,esthefany,1
15/11/2020,29,esthefany,18
15/11/2020,42,esthefany,2
15/11/2020,44,esthefany,6
15/11/2020,47,esthefany,1
15/11/2020,48,esthefany,5
15/11/2020,51,esthefany,8
15/11/2020,52,esthefany,3
15/11/2020,53,esthefany,2
15/11/2020,54,esthefany,2
15/11/2020,56,esthefany,2
15/11/2020,59,esthefany,1
15/11/2020,110,esthefany,1
15/11/2020,1,mayumi,8
15/11/2020,2,mayumi,1
15/11/2020,6,mayumi,2
15/11/2020,7,mayumi,4
15/11/2020,11,mayumi,1
15/11/2020,19,mayumi,1
15/11/2020,27,mayumi,1
15/11/2020,29,mayumi,22
15/11/2020,38,mayumi,1
15/11/2020,41,mayumi,1
15/11/2020,42,mayumi,5
15/11/2020,44,mayumi,2
15/11/2020,47,mayumi,3
15/11/2020,48,mayumi,5
15/11/2020,49,mayumi,2
15/11/2020,51,mayumi,5
15/11/2020,52,mayumi,2
15/11/2020,54,mayumi,2
15/11/2020,55,mayumi,1
15/11/2020,56,mayumi,5
15/11/2020,59,mayumi,2
15/11/2020,1,susan,8
15/11/2020,2,susan,1
15/11/2020,11,susan,2
15/11/2020,29,susan,4
15/11/2020,31,susan,1
15/11/2020,36,susan,1
15/11/2020,42,susan,2
15/11/2020,44,susan,2
15/11/2020,47,susan,2
15/11/2020,48,susan,8
15/11/2020,51,susan,4
15/11/2020,52,susan,2
15/11/2020,53,susan,2
15/11/2020,56,susan,1
15/11/2020,57,susan,1
15/11/2020,110,susan,1
21/11/2020,1,mary,6
21/11/2020,6,mary,1
21/11/2020,11,mary,1
21/11/2020,29,mary,7
21/11/2020,44,mary,1
21/11/2020,48,mary,1
21/11/2020,51,mary,3
21/11/2020,52,mary,3
21/11/2020,55,mary,1
21/11/2020,58,mary,1
21/11/2020,59,mary,1
21/11/2020,1,noemy,4
21/11/2020,2,noemy,1
21/11/2020,7,noemy,2
21/11/2020,12,noemy,1
21/11/2020,27,noemy,1
21/11/2020,29,noemy,6
21/11/2020,38,noemy,1
21/11/2020,42,noemy,1
21/11/2020,48,noemy,12
21/11/2020,51,noemy,5
21/11/2020,53,noemy,1
21/11/2020,55,noemy,1
21/11/2020,56,noemy,1
21/11/2020,57,noemy,1
21/11/2020,59,noemy,3
21/11/2020,1,susan,2
21/11/2020,6,susan,2
21/11/2020,11,susan,1
21/11/2020,29,susan,6
21/11/2020,42,susan,4
21/11/2020,43,susan,1
21/11/2020,44,susan,7
21/11/2020,47,susan,2
21/11/2020,48,susan,3
21/11/2020,51,susan,1
22/11/2020,1,deisy,6
22/11/2020,7,deisy,3
22/11/2020,9,deisy,2
22/11/2020,27,deisy,1
22/11/2020,29,deisy,6
22/11/2020,37,deisy,1
22/11/2020,38,deisy,1
22/11/2020,44,deisy,4
22/11/2020,47,deisy,8
22/11/2020,48,deisy,5
22/11/2020,51,deisy,8
22/11/2020,52,deisy,5
22/11/2020,59,deisy,1
22/11/2020,1,elida,17
22/11/2020,6,elida,1
22/11/2020,7,elida,2
22/11/2020,9,elida,2
22/11/2020,27,elida,3
22/11/2020,29,elida,19
22/11/2020,31,elida,1
22/11/2020,42,elida,10
22/11/2020,43,elida,2
22/11/2020,44,elida,10
22/11/2020,47,elida,11
22/11/2020,48,elida,6
22/11/2020,51,elida,5
22/11/2020,52,elida,4
22/11/2020,56,elida,1
22/11/2020,59,elida,1
22/11/2020,1,liz,9
22/11/2020,7,liz,1
22/11/2020,9,liz,3
22/11/2020,11,liz,1
22/11/2020,27,liz,1
22/11/2020,29,liz,14
22/11/2020,31,liz,1
22/11/2020,38,liz,1
22/11/2020,39,liz,2
22/11/2020,42,liz,9
22/11/2020,44,liz,2
22/11/2020,47,liz,1
22/11/2020,48,liz,3
22/11/2020,51,liz,3
22/11/2020,52,liz,3
22/11/2020,55,liz,2
22/11/2020,56,liz,2
22/11/2020,1,mary,17
22/11/2020,6,mary,1
22/11/2020,7,mary,2
22/11/2020,9,mary,1
22/11/2020,11,mary,2
22/11/2020,27,mary,1
22/11/2020,29,mary,18
22/11/2020,31,mary,1
22/11/2020,37,mary,2
22/11/2020,39,mary,1
22/11/2020,42,mary,2
22/11/2020,44,mary,7
22/11/2020,47,mary,6
22/11/2020,48,mary,4
22/11/2020,51,mary,2
22/11/2020,52,mary,2
22/11/2020,55,mary,1
22/11/2020,56,mary,2
22/11/2020,58,mary,1
22/11/2020,110,mary,1
22/11/2020,1,noemy,10
22/11/2020,2,noemy,1
22/11/2020,6,noemy,4
22/11/2020,7,noemy,4
22/11/2020,9,noemy,3
22/11/2020,11,noemy,3
22/11/2020,25,noemy,1
22/11/2020,26,noemy,1
22/11/2020,29,noemy,14
22/11/2020,31,noemy,1
22/11/2020,37,noemy,2
22/11/2020,42,noemy,11
22/11/2020,44,noemy,2
22/11/2020,47,noemy,2
22/11/2020,48,noemy,5
22/11/2020,50,noemy,1
22/11/2020,51,noemy,8
22/11/2020,52,noemy,2
22/11/2020,53,noemy,2
22/11/2020,56,noemy,2
22/11/2020,57,noemy,1
22/11/2020,110,noemy,2
22/11/2020,47,rosmery,3
22/11/2020,48,rosmery,2
22/11/2020,51,rosmery,7
22/11/2020,52,rosmery,4
22/11/2020,56,rosmery,1
22/11/2020,1,susan,1
22/11/2020,7,susan,1
22/11/2020,9,susan,1
22/11/2020,27,susan,1
22/11/2020,29,susan,7
22/11/2020,33,susan,1
22/11/2020,39,susan,1
22/11/2020,41,susan,1
22/11/2020,42,susan,1
22/11/2020,48,susan,8
22/11/2020,51,susan,11
22/11/2020,52,susan,1
22/11/2020,54,susan,1
6/12/2020,1,celeste,1
6/12/2020,5,celeste,1
6/12/2020,7,celeste,1
6/12/2020,32,celeste,1
6/12/2020,37,celeste,1
6/12/2020,51,celeste,1
6/12/2020,56,celeste,1
6/12/2020,1,elida,7
6/12/2020,2,elida,1
6/12/2020,6,elida,3
6/12/2020,7,elida,3
6/12/2020,29,elida,18
6/12/2020,31,elida,3
6/12/2020,41,elida,4
6/12/2020,42,elida,11
6/12/2020,44,elida,2
6/12/2020,47,elida,1
6/12/2020,48,elida,5
6/12/2020,51,elida,6
6/12/2020,52,elida,1
6/12/2020,56,elida,2
6/12/2020,110,elida,2
6/12/2020,1,puca,26
6/12/2020,2,puca,4
6/12/2020,6,puca,1
6/12/2020,7,puca,3
6/12/2020,11,puca,3
6/12/2020,25,puca,1
6/12/2020,29,puca,18
6/12/2020,33,puca,1
6/12/2020,36,puca,1
6/12/2020,37,puca,1
6/12/2020,42,puca,3
6/12/2020,43,puca,1
6/12/2020,44,puca,10
6/12/2020,47,puca,2
6/12/2020,48,puca,6
6/12/2020,50,puca,1
6/12/2020,51,puca,3
6/12/2020,52,puca,5
6/12/2020,54,puca,1
6/12/2020,55,puca,2
